date,lake,sediment,ice_abundance,sediment_abundance
2021-12-22,West Lake Bonney,0.8914445945288763,0.8914445945288763,0.10855540547112374
2021-12-24,East Lake Bonney,0.9235242657337593,0.9235242657337593,0.07647573426624066
2021-12-24,West Lake Bonney,0.8840448844918053,0.8840448844918053,0.1159551155081947
2022-01-05,East Lake Bonney,0.7236464611568897,0.7236464611568897,0.2763535388431103
2022-01-05,West Lake Bonney,0.9286693411412226,0.9286693411412226,0.07133065885877743
2022-01-07,East Lake Bonney,0.8124684876159074,0.8124684876159074,0.1875315123840926
2022-01-07,West Lake Bonney,0.9270166163101674,0.9270166163101674,0.07298338368983259
2022-01-12,East Lake Bonney,0.8335287028322714,0.8335287028322714,0.16647129716772857
2022-01-12,West Lake Bonney,0.9130376988150845,0.9130376988150845,0.08696230118491555
2022-01-14,East Lake Bonney,0.8259047506869197,0.8259047506869197,0.1740952493130803
2022-01-14,West Lake Bonney,0.9056714366732032,0.9056714366732032,0.09432856332679684
2022-01-16,East Lake Bonney,0.8193847807561582,0.8193847807561582,0.18061521924384183
2022-01-16,West Lake Bonney,0.8913079058757325,0.8913079058757325,0.1086920941242675
2022-01-19,East Lake Bonney,0.9116229645454289,0.9116229645454289,0.0883770354545711
2022-01-19,West Lake Bonney,0.9666258794930004,0.9666258794930004,0.033374120506999616
2022-01-25,East Lake Bonney,0.7649012164763862,0.7649012164763862,0.2350987835236138
2022-01-25,West Lake Bonney,0.899791850927141,0.899791850927141,0.10020814907285902
2022-01-28,East Lake Bonney,0.8063024407985415,0.8063024407985415,0.19369755920145848
2022-01-28,West Lake Bonney,0.7945295261539442,0.7945295261539442,0.20547047384605577
2022-11-14,East Lake Bonney,0.6811708939521395,0.6811708939521395,0.3188291060478605
2022-11-14,West Lake Bonney,0.8281107124948034,0.8281107124948034,0.1718892875051966
2022-11-16,East Lake Bonney,0.5812246171105482,0.5812246171105482,0.4187753828894518
2022-11-16,West Lake Bonney,0.7984503461156333,0.7984503461156333,0.20154965388436674
2022-11-19,East Lake Bonney,0.6737936981221596,0.6737936981221596,0.3262063018778404
2022-11-19,West Lake Bonney,0.8246634586584518,0.8246634586584518,0.1753365413415482
2022-11-21,East Lake Bonney,0.6761579259620519,0.6761579259620519,0.32384207403794807
2022-11-21,West Lake Bonney,0.8340801473984832,0.8340801473984832,0.16591985260151676
2022-11-23,East Lake Bonney,0.6805280642372391,0.6805280642372391,0.3194719357627609
2022-11-23,West Lake Bonney,0.8641186137827553,0.8641186137827553,0.13588138621724466
2022-11-28,East Lake Bonney,0.7019960076760975,0.7019960076760975,0.2980039923239025
2022-11-28,West Lake Bonney,0.8791254526209377,0.8791254526209377,0.12087454737906234
2022-12-05,East Lake Bonney,0.7909826466074795,0.7909826466074795,0.20901735339252048
2022-12-05,West Lake Bonney,0.9057166744008108,0.9057166744008108,0.09428332559918917
2022-12-11,East Lake Bonney,0.6392756503348546,0.6392756503348546,0.36072434966514544
2022-12-11,West Lake Bonney,0.864305349285332,0.864305349285332,0.13569465071466802
2022-12-16,East Lake Bonney,0.8219033703916108,0.8219033703916108,0.17809662960838923
2022-12-16,West Lake Bonney,0.9054784800566806,0.9054784800566806,0.09452151994331937
2022-12-18,East Lake Bonney,0.7862106927588244,0.7862106927588244,0.21378930724117562
2022-12-18,West Lake Bonney,0.899718617213836,0.899718617213836,0.10028138278616405
2023-01-01,East Lake Bonney,0.7267412412114241,0.7267412412114241,0.27325875878857586
2023-01-01,West Lake Bonney,0.9027708758471303,0.9027708758471303,0.09722912415286966
2023-01-03,East Lake Bonney,0.8208746123085697,0.8208746123085697,0.17912538769143027
2023-01-03,West Lake Bonney,0.911962820416378,0.911962820416378,0.088037179583622
2023-01-10,East Lake Bonney,0.7855207737543599,0.7855207737543599,0.2144792262456401
