date,lake,sediment,ice_abundance,sediment_abundance
2016-11-02,East Lake Bonney,0.6717965380442108,0.6717965380442108,0.3282034619557892
2016-11-02,West Lake Bonney,0.918924662023357,0.918924662023357,0.08107533797664301
2016-11-04,East Lake Bonney,0.6778662451564363,0.6778662451564363,0.32213375484356366
2016-11-04,West Lake Bonney,0.9197738313398903,0.9197738313398903,0.08022616866010968
2016-11-06,East Lake Bonney,0.6749723373041914,0.6749723373041914,0.32502766269580863
2016-11-06,West Lake Bonney,0.913606896379498,0.913606896379498,0.08639310362050201
2016-11-08,East Lake Bonney,0.6646178684350825,0.6646178684350825,0.3353821315649175
2016-11-08,West Lake Bonney,0.8949474579179879,0.8949474579179879,0.10505254208201209
2016-11-15,East Lake Bonney,0.6600070727378246,0.6600070727378246,0.33999292726217545
2016-11-15,West Lake Bonney,0.881368885966503,0.881368885966503,0.11863111403349702
2016-12-10,East Lake Bonney,0.760302546252477,0.760302546252477,0.23969745374752305
2016-12-10,West Lake Bonney,0.9315810230709989,0.9315810230709989,0.06841897692900112
2016-12-13,East Lake Bonney,0.698223689652888,0.698223689652888,0.30177631034711205
2016-12-13,West Lake Bonney,0.9468437834272262,0.9468437834272262,0.05315621657277381
2016-12-15,East Lake Bonney,0.6189915670668379,0.6189915670668379,0.3810084329331621
2016-12-15,West Lake Bonney,0.9379639004659522,0.9379639004659522,0.06203609953404776
2016-12-17,East Lake Bonney,0.554880202474132,0.554880202474132,0.44511979752586806
2016-12-17,West Lake Bonney,0.9377733168049945,0.9377733168049945,0.06222668319500546
2016-12-24,East Lake Bonney,0.7921799617678826,0.7921799617678826,0.20782003823211737
2016-12-24,West Lake Bonney,0.9522414093539873,0.9522414093539873,0.04775859064601273
2017-01-02,East Lake Bonney,0.8431796441414745,0.8431796441414745,0.1568203558585255
2017-01-02,West Lake Bonney,0.9543683679930155,0.9543683679930155,0.0456316320069845
2017-01-11,East Lake Bonney,0.8111052099841753,0.8111052099841753,0.18889479001582465
2017-01-11,West Lake Bonney,0.942843823328865,0.942843823328865,0.05715617667113504
2017-01-14,East Lake Bonney,0.8720450507534974,0.8720450507534974,0.12795494924650264
2017-01-14,West Lake Bonney,0.9195030980715609,0.9195030980715609,0.08049690192843906
2017-01-18,East Lake Bonney,0.8699448686365183,0.8699448686365183,0.13005513136348168
2017-01-18,West Lake Bonney,0.9252642905124128,0.9252642905124128,0.07473570948758723
2017-01-25,East Lake Bonney,0.816121342735745,0.816121342735745,0.183878657264255
2017-01-25,West Lake Bonney,0.912807431401864,0.912807431401864,0.08719256859813596
2017-01-27,East Lake Bonney,0.8068065572895512,0.8068065572895512,0.1931934427104488
2017-01-27,West Lake Bonney,0.9154235482629013,0.9154235482629013,0.08457645173709871
2017-01-30,East Lake Bonney,0.8059640554571234,0.8059640554571234,0.19403594454287665
2017-01-30,West Lake Bonney,0.8973177775985626,0.8973177775985626,0.10268222240143743
2017-11-07,East Lake Bonney,0.9320753077806264,0.9320753077806264,0.06792469221937358
2017-11-07,West Lake Bonney,0.8509510833774914,0.8509510833774914,0.14904891662250863
2017-11-18,East Lake Bonney,0.9148640424426449,0.9148640424426449,0.08513595755735515
2017-11-18,West Lake Bonney,0.8614569704038528,0.8614569704038528,0.13854302959614717
2017-11-21,East Lake Bonney,0.9075572650145559,0.9075572650145559,0.09244273498544409
2017-11-21,West Lake Bonney,0.8476942978615871,0.8476942978615871,0.15230570213841288
2017-11-25,East Lake Bonney,0.8834543019528182,0.8834543019528182,0.11654569804718184
2017-11-25,West Lake Bonney,0.8909450964997417,0.8909450964997417,0.10905490350025826
2017-11-27,East Lake Bonney,0.8992220841409089,0.8992220841409089,0.10077791585909113
2017-11-27,West Lake Bonney,0.928192969783924,0.928192969783924,0.07180703021607604
2017-11-30,East Lake Bonney,0.9037166778761706,0.9037166778761706,0.0962833221238294
2017-11-30,West Lake Bonney,0.9426804786901495,0.9426804786901495,0.05731952130985052
2017-12-02,East Lake Bonney,0.8295976769956024,0.8295976769956024,0.17040232300439762
2017-12-02,West Lake Bonney,0.9468371534364937,0.9468371534364937,0.05316284656350634
2017-12-07,East Lake Bonney,0.8595878446810317,0.8595878446810317,0.14041215531896833
2017-12-07,West Lake Bonney,0.9504120666219845,0.9504120666219845,0.04958793337801548
2017-12-16,East Lake Bonney,0.8750852621687911,0.8750852621687911,0.12491473783120888
2017-12-16,West Lake Bonney,0.9660857602615958,0.9660857602615958,0.03391423973840424
2017-12-23,East Lake Bonney,0.888120964239228,0.888120964239228,0.11187903576077196
2017-12-23,West Lake Bonney,0.9610946549055441,0.9610946549055441,0.03890534509445587
2018-01-03,East Lake Bonney,0.9777743459246722,0.9777743459246722,0.02222565407532784
2018-01-03,West Lake Bonney,0.9618743123939286,0.9618743123939286,0.03812568760607138
2018-01-05,East Lake Bonney,0.9991367284855514,0.9991367284855514,8.632715144486491e-4
2018-01-05,West Lake Bonney,0.9605632655827545,0.9605632655827545,0.03943673441724549
2018-01-10,East Lake Bonney,0.8449789949644886,0.8449789949644886,0.15502100503551142
2018-01-10,West Lake Bonney,0.978733988364886,0.978733988364886,0.02126601163511399
2018-01-12,East Lake Bonney,0.8769794776652036,0.8769794776652036,0.12302052233479643
2018-01-12,West Lake Bonney,0.9553436390024996,0.9553436390024996,0.044656360997500366
2018-01-14,East Lake Bonney,0.9301310053036426,0.9301310053036426,0.06986899469635743
2018-01-14,West Lake Bonney,0.9562410034007806,0.9562410034007806,0.043758996599219446
2018-01-19,East Lake Bonney,0.9271426854233195,0.9271426854233195,0.07285731457668054
2018-01-19,West Lake Bonney,0.9449678001943144,0.9449678001943144,0.05503219980568563
2018-01-26,East Lake Bonney,0.9310863793526412,0.9310863793526412,0.06891362064735884
2018-01-26,West Lake Bonney,0.9362947005017004,0.9362947005017004,0.06370529949829962
2018-01-30,East Lake Bonney,0.9195071941900892,0.9195071941900892,0.0804928058099108
2018-01-30,West Lake Bonney,0.9257451444835749,0.9257451444835749,0.07425485551642508
2018-11-05,East Lake Bonney,0.891791381423697,0.891791381423697,0.10820861857630304
2018-11-05,West Lake Bonney,0.8948875766854796,0.8948875766854796,0.10511242331452042
2018-11-08,East Lake Bonney,0.7994410403413785,0.7994410403413785,0.20055895965862147
2018-11-08,West Lake Bonney,0.8637792717113492,0.8637792717113492,0.13622072828865084
2018-11-12,East Lake Bonney,0.7951868096064244,0.7951868096064244,0.2048131903935756
2018-11-12,West Lake Bonney,0.8510523518326927,0.8510523518326927,0.14894764816730732
2018-11-17,East Lake Bonney,0.7883038139248297,0.7883038139248297,0.21169618607517027
2018-11-17,West Lake Bonney,0.855188036766128,0.855188036766128,0.14481196323387202
2018-11-19,East Lake Bonney,0.782350671471033,0.782350671471033,0.217649328528967
2018-11-19,West Lake Bonney,0.8556610961152855,0.8556610961152855,0.1443389038847145
2018-11-24,East Lake Bonney,0.8484649567187393,0.8484649567187393,0.15153504328126066
2018-11-24,West Lake Bonney,0.9135818327274674,0.9135818327274674,0.0864181672725326
2018-11-26,East Lake Bonney,0.8212600205553082,0.8212600205553082,0.17873997944469178
2018-11-26,West Lake Bonney,0.9018274622830467,0.9018274622830467,0.09817253771695333
2018-11-28,East Lake Bonney,0.7657301024253553,0.7657301024253553,0.23426989757464467
2018-11-28,West Lake Bonney,0.8879236024083973,0.8879236024083973,0.1120763975916027
2018-11-30,East Lake Bonney,0.7636579907273028,0.7636579907273028,0.23634200927269722
2018-11-30,West Lake Bonney,0.8921857130168293,0.8921857130168293,0.10781428698317075
2018-12-05,East Lake Bonney,0.7931258167971239,0.7931258167971239,0.2068741832028761
2018-12-05,West Lake Bonney,0.91987545122466,0.91987545122466,0.08012454877534003
2018-12-30,East Lake Bonney,0.8882805273942601,0.8882805273942601,0.11171947260573989
2018-12-30,West Lake Bonney,0.9357926422943129,0.9357926422943129,0.06420735770568708
2019-01-01,East Lake Bonney,0.8982778408251928,0.8982778408251928,0.1017221591748072
2019-01-01,West Lake Bonney,0.9263943674758389,0.9263943674758389,0.07360563252416108
2019-01-04,East Lake Bonney,0.8454727835717736,0.8454727835717736,0.15452721642822642
